id,ns1:name,ns1:id,ns1:scale,ns1:href,x,y,xunits,yunits,ns1:LabelStyle,ns1:color,ns1:width,ns1:color2,ns1:BalloonStyle,id3,ns1:key,ns1:styleUrl,id4,ns1:name5,ns1:open,ns1:styleUrl6,id7,ns1:name8,ns1:longitude,ns1:latitude,ns1:altitude,ns1:heading,ns1:tilt,ns2:fovy,ns1:range,ns1:altitudeMode,ns1:styleUrl9,ns1:coordinates
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,00FFEEA6E8347FAD3239,078977,0.690993558,41.65422843,179.014966,0,0,35,307.4815195,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6902809720458936,41.65460798406813,180.6220801172899"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,01A58A351C347FACB72D,2500726,0.690993558,41.65422843,179.014966,0,0,35,307.4815195,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6912004439818631,41.65415443522285,180.0085112978987"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,0940C79C33347FAEF16F,2500933,0.704774908,41.63253554,169.7422666,0,0,35,4756.674932,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6960076740390275,41.62386764989858,169.7405137836528"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,0C3E569C7E347FAE6172,CATR5402A,0.708547081,41.63774243,172.9775234,0,0,35,5474.548598,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6857246533798533,41.63763126656711,199.6107267549406"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,0AF10B80EF347FAF9881,00744,0.767061456,41.63329774,202.6171688,0,0,35,3311.164082,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.7770681939791579,41.63196753867252,200.4398735565939"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,03675C44CD347FB007F3,2500123,0.774192238,41.6314472,199.0519833,0,0,35,522.9475523,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.7749065943143552,41.63125983611267,199.0519431655401"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,0B3F2166D9347F9A3691,2500062,0.526681308,41.65220104,328.7594294,0,0,34.99067409,737.1409727,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.5255237389528689,41.6525449852712,329.1599078129939"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,0D3B75A69F347FBA23F6,CATR9813C,0.728541598,41.58437786,237.0680318,0,0,35,547.0634736,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.7274447822165042,41.58393473847209,235.22363512634"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,05C9280ED8347FA0F38A,2500972,0.567269846,41.64980122,226.1373649,0,0,34.99067409,90.95111335,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.5673111648626539,41.64973427722833,225.7962903489827"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,00287CA7BA347FBAD556,2500008,0.720127191,41.59350731,232.1228891,0,0,35,327.1870217,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.7201729198058349,41.59359934730868,232.2364631608104"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,0B5F4D47C3347FBC6A86,CATR9490A,0.669461743,41.60943892,203.6761468,0,0,35,1067.403917,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6675464565890121,41.60971442661454,198.153479659009"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,08BF9A209F347FBDA4ED,2501016,0.665308869,41.6090509,213.2187076,0,0,35,529.0753387,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.664914080597887,41.60881977912494,214.9103395220027"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,046EC8D2A1347FBF07DF,2500388,0.655469359,41.61376063,170.6577321,0,0,35,258.2356801,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6553589779386693,41.61370944795806,170.8703461493872"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,074CAE3705347FBDDD34,2500271,0.665308869,41.6090509,213.2187076,0,0,35,529.0753387,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.663713554076133,41.60906300829745,216.7351721991802"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,077783BF10347FBF918B,2500804,0.644989025,41.61560982,155.3735243,0,0,35,261.3637521,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6447333741483718,41.61545040756819,155.6083957038573"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,0B89EB27E5347FC15418,14279,0.633865899,41.61011251,163.6530308,359.1234305,0,35,443.6189273,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6342341658556028,41.61024830095956,185.7847715583595"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,0B4F3FCC01347FBE796A,2500178,0.674511313,41.61203699,205.5044656,0,0,35,1891.101681,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6793679459384294,41.61256593399675,216.5041038791999"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,07A39D9585347FBBE618,CATR5647A,0.66959816,41.60949653,203.9721116,359.9999991,0,35,772.9556945,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6715580832506918,41.60951882182135,213.2989609928123"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,0475EC1A0B347FC0DD2B,2500047,0.633725567,41.61007439,148.4589765,359.1234306,0,35,612.9853407,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6326444792638197,41.61046598601153,151.9733684577564"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,0558C6A907347FC2BF6F,CATR9411Z,0.635847437,41.60989969,143.3011464,359.1234256,0,35,299.8456594,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6365136436276009,41.60967192023799,155.9731545742836"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,0EEE0FF270347FC43F30,2500406,0.631027748,41.61842871,173.0391357,359.1234184,0,35,1021.002085,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6331040292350165,41.61763959107632,163.7081988740198"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,05A311A22C347FC4A646,2500418,0.631034197,41.61843172,173.118669,359.1234183,0,35,1014.273442,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6320388215468409,41.61888641462638,169.0240754574976"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,0FDEA3AA7E347FC50DCB,CATR5644A,0.631034197,41.61843172,173.118669,359.1234183,0,35,1014.273442,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6296359217911096,41.61876299828523,156.247985598426"
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,5GPLAN_Google_Earth,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_0DA1C560CD347FAAACD5,0CEB8C3959347FC181DA,014279,0.633865899,41.61011251,163.6530308,359.1234305,0,35,443.6189273,absolute,#__managed_style_0DA1C560CD347FAAACD5,"0.6342050188587267,41.6103074925036,186.0228255889623"
