id,ns1:name,ns1:id,ns1:scale,ns1:href,x,y,xunits,yunits,ns1:scale2,ns1:color,ns1:width,ns1:color3,ns1:BalloonStyle,id4,ns1:key,ns1:styleUrl,id5,ns1:name6,ns1:open,ns1:styleUrl7,id8,ns1:name9,ns1:longitude,ns1:latitude,ns1:altitude,ns1:heading,ns1:tilt,ns2:fovy,ns1:range,ns1:altitudeMode,ns1:styleUrl10,ns1:coordinates,ns1:extrude,id11,ns1:name12,ns1:styleUrl13
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_02770A3088348A6CBB91,0992308E10347FA67455,2500080,0.647122802,41.66045023,168.5425317,0,0,35,1486.18355,absolute,#__managed_style_02770A3088348A6CBB91,"0.6510637962952548,41.66026499712935,168.1005101539284",,09A533AB41347F8A7BCA,Work_Zone,#__managed_style_02770A3088348A6CBB91
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_02770A3088348A6CBB91,04BEDDD8E7347FA57DDC,51951,0.608023692,41.66525181,191.8351758,0,0,35,1542.646592,absolute,#__managed_style_02770A3088348A6CBB91,"0.6062830777575678,41.66687949730064,202.5680245957429",,09A533AB41347F8A7BCA,Work_Zone,#__managed_style_02770A3088348A6CBB91
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_02770A3088348A6CBB91,063EEB7DCE347FABAB56,2500345,0.692255528,41.64429327,231.6566133,0,0,35,280.9429364,absolute,#__managed_style_02770A3088348A6CBB91,"0.6922486632854796,41.64418681188389,234.5630133626144",,09A533AB41347F8A7BCA,Work_Zone,#__managed_style_02770A3088348A6CBB91
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_02770A3088348A6CBB91,00FFEEA6E8347FAD3239,78977,0.690993558,41.65422843,179.014966,0,0,35,307.4815195,absolute,#__managed_style_02770A3088348A6CBB91,"0.6902809720458936,41.65460798406813,180.6220801172899",,09A533AB41347F8A7BCA,Work_Zone,#__managed_style_02770A3088348A6CBB91
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_02770A3088348A6CBB91,01A58A351C347FACB72D,2500726,0.690993558,41.65422843,179.014966,0,0,35,307.4815195,absolute,#__managed_style_02770A3088348A6CBB91,"0.6912004439818631,41.65415443522285,180.0085112978987",,09A533AB41347F8A7BCA,Work_Zone,#__managed_style_02770A3088348A6CBB91
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_02770A3088348A6CBB91,0940C79C33347FAEF16F,2500933,0.704774908,41.63253554,169.7422666,0,0,35,4756.674932,absolute,#__managed_style_02770A3088348A6CBB91,"0.6960076740390275,41.62386764989858,169.7405137836528",,09A533AB41347F8A7BCA,Work_Zone,#__managed_style_02770A3088348A6CBB91
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_02770A3088348A6CBB91,0C3E569C7E347FAE6172,CATR5402A,0.708547081,41.63774243,172.9775234,0,0,35,5474.548598,absolute,#__managed_style_02770A3088348A6CBB91,"0.6857246533798533,41.63763126656711,199.6107267549406",,09A533AB41347F8A7BCA,Work_Zone,#__managed_style_02770A3088348A6CBB91
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_02770A3088348A6CBB91,03675C44CD347FB007F3,2500123,0.774192238,41.6314472,199.0519833,0,0,35,522.9475523,absolute,#__managed_style_02770A3088348A6CBB91,"0.7749065943143552,41.63125983611267,199.0519431655401",,09A533AB41347F8A7BCA,Work_Zone,#__managed_style_02770A3088348A6CBB91
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_02770A3088348A6CBB91,0B3F2166D9347F9A3691,2500062,0.526681308,41.65220104,328.7594294,0,0,34.99067409,737.1409727,absolute,#__managed_style_02770A3088348A6CBB91,"0.5255237389528689,41.6525449852712,329.1599078129939",,09A533AB41347F8A7BCA,Work_Zone,#__managed_style_02770A3088348A6CBB91
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_02770A3088348A6CBB91,0D3B75A69F347FBA23F6,CATR9813C,0.728541598,41.58437786,237.0680318,0,0,35,547.0634736,absolute,#__managed_style_02770A3088348A6CBB91,"0.7274447822165042,41.58393473847209,235.22363512634",,09A533AB41347F8A7BCA,Work_Zone,#__managed_style_02770A3088348A6CBB91
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_02770A3088348A6CBB91,05C9280ED8347FA0F38A,2500972,0.567269846,41.64980122,226.1373649,0,0,34.99067409,90.95111335,absolute,#__managed_style_02770A3088348A6CBB91,"0.5673111648626539,41.64973427722833,225.7962903489827",,09A533AB41347F8A7BCA,Work_Zone,#__managed_style_02770A3088348A6CBB91
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_02770A3088348A6CBB91,00287CA7BA347FBAD556,2500008,0.720127191,41.59350731,232.1228891,0,0,35,327.1870217,absolute,#__managed_style_02770A3088348A6CBB91,"0.7201729198058349,41.59359934730868,232.2364631608104",,09A533AB41347F8A7BCA,Work_Zone,#__managed_style_02770A3088348A6CBB91
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_02770A3088348A6CBB91,0B5F4D47C3347FBC6A86,CATR9490A,0.669461743,41.60943892,203.6761468,0,0,35,1067.403917,absolute,#__managed_style_02770A3088348A6CBB91,"0.6675464565890121,41.60971442661454,198.153479659009",,09A533AB41347F8A7BCA,Work_Zone,#__managed_style_02770A3088348A6CBB91
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_02770A3088348A6CBB91,08BF9A209F347FBDA4ED,2501016,0.665308869,41.6090509,213.2187076,0,0,35,529.0753387,absolute,#__managed_style_02770A3088348A6CBB91,"0.664914080597887,41.60881977912494,214.9103395220027",,09A533AB41347F8A7BCA,Work_Zone,#__managed_style_02770A3088348A6CBB91
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_02770A3088348A6CBB91,046EC8D2A1347FBF07DF,2500388,0.655469359,41.61376063,170.6577321,0,0,35,258.2356801,absolute,#__managed_style_02770A3088348A6CBB91,"0.6553589779386693,41.61370944795806,170.8703461493872",,09A533AB41347F8A7BCA,Work_Zone,#__managed_style_02770A3088348A6CBB91
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_02770A3088348A6CBB91,074CAE3705347FBDDD34,2500271,0.665308869,41.6090509,213.2187076,0,0,35,529.0753387,absolute,#__managed_style_02770A3088348A6CBB91,"0.663713554076133,41.60906300829745,216.7351721991802",,09A533AB41347F8A7BCA,Work_Zone,#__managed_style_02770A3088348A6CBB91
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_02770A3088348A6CBB91,077783BF10347FBF918B,2500804,0.644989025,41.61560982,155.3735243,0,0,35,261.3637521,absolute,#__managed_style_02770A3088348A6CBB91,"0.6447333741483718,41.61545040756819,155.6083957038573",,09A533AB41347F8A7BCA,Work_Zone,#__managed_style_02770A3088348A6CBB91
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_02770A3088348A6CBB91,0B89EB27E5347FC15418,14279,0.633865899,41.61011251,163.6530308,359.1234305,0,35,443.6189273,absolute,#__managed_style_02770A3088348A6CBB91,"0.6342341658556028,41.61024830095956,185.7847715583595",,09A533AB41347F8A7BCA,Work_Zone,#__managed_style_02770A3088348A6CBB91
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_02770A3088348A6CBB91,0B4F3FCC01347FBE796A,2500178,0.674511313,41.61203699,205.5044656,0,0,35,1891.101681,absolute,#__managed_style_02770A3088348A6CBB91,"0.6793679459384294,41.61256593399675,216.5041038791999",,09A533AB41347F8A7BCA,Work_Zone,#__managed_style_02770A3088348A6CBB91
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_02770A3088348A6CBB91,07A39D9585347FBBE618,CATR5647A,0.66959816,41.60949653,203.9721116,359.9999991,0,35,772.9556945,absolute,#__managed_style_02770A3088348A6CBB91,"0.6715580832506918,41.60951882182135,213.2989609928123",,09A533AB41347F8A7BCA,Work_Zone,#__managed_style_02770A3088348A6CBB91
1LwIyjK85npCXRou8dCOKt_6zalaSv16c,,,,,,,,,,,,,,,,,09A2105847347F8A3FCA,RRH,1,#__managed_style_02770A3088348A6CBB91,0475EC1A0B347FC0DD2B,2500047,0.633725567,41.61007439,148.4589765,359.1234306,0,35,612.9853407,absolute,#__managed_style_02770A3088348A6CBB91,"0.6326444792638197,41.61046598601153,151.9733684577564",,09A533AB41347F8A7BCA,Work_Zone,#__managed_style_02770A3088348A6CBB91
