BBU_ID,BBU_Latitude,BBU_Longitude,RRH_id,RRH_Latitude,RRH_Longitude,RRH_Type,Distance_meters
1,41.53010152936148,0.49908174146264617,CATR9855A,41.53931720816545,0.5071666129457042,mixed,1225.9461651067259
1,41.53010152936148,0.49908174146264617,83041,41.539753,0.4832359999999999,office,1700.383309552271
1,41.53010152936148,0.49908174146264617,CATR5443A,41.526047,0.527019,residential,2368.905378846791
1,41.53010152936148,0.49908174146264617,2501044,41.55498822167779,0.4998732554472252,mixed,2768.0578698981035
1,41.53010152936148,0.49908174146264617,199443,41.56279295790426,0.5243319673318192,residential,4198.773616570688
1,41.53010152936148,0.49908174146264617,CATR5344A,41.56963102206773,0.5211888535104459,mixed,4764.934192792273
1,41.53010152936148,0.49908174146264617,85120,41.493042,0.455797,office,5474.5664507263045
1,41.53010152936148,0.49908174146264617,2500603,41.57402388379958,0.5481457253912669,mixed,6365.679250775351
1,41.53010152936148,0.49908174146264617,2500194,41.473617,0.460003,mixed,7073.852878860243
1,41.53010152936148,0.49908174146264617,24038,41.467803,0.464056,mixed,7516.386273631957
2,41.635307548016094,0.8208770849020507,744,41.632131,0.7770609999999999,residential,3658.5530154888074
2,41.635307548016094,0.8208770849020507,54234,41.67195299999999,0.812836,residential,4129.191090584922
2,41.635307548016094,0.8208770849020507,2500196,41.67195299999999,0.812836,mixed,4129.191090584922
2,41.635307548016094,0.8208770849020507,2500123,41.63125983611267,0.7749065943143552,mixed,3846.956532148422
2,41.635307548016094,0.8208770849020507,2500233,41.605278,0.878056,mixed,5808.691956358631
2,41.635307548016094,0.8208770849020507,101486,41.617306,0.8452360000000001,residential,2847.0927493946974
2,41.635307548016094,0.8208770849020507,CATR9883C,41.617272,0.8452079999999998,office,2848.099421562302
3,41.57062705012717,0.6051114784438322,177842,41.519822,0.618153,mixed,5752.577217716925
3,41.57062705012717,0.6051114784438322,CATR5656A,41.519822,0.618153,residential,5752.577217716925
3,41.57062705012717,0.6051114784438322,2500354,41.519822,0.618153,residential,5752.577217716925
3,41.57062705012717,0.6051114784438322,2500792,41.60934132816067,0.6201089565892159,mixed,4481.876310119973
3,41.57062705012717,0.6051114784438322,1B2L5300,41.60842960968708,0.6119771278736397,residential,4242.055473711755
3,41.57062705012717,0.6051114784438322,2500386,41.60561748412892,0.6234264925586341,office,4178.293547103773
3,41.57062705012717,0.6051114784438322,CATR5646A,41.60509379844925,0.6072413559541023,residential,3836.61887830992
3,41.57062705012717,0.6051114784438322,61137,41.60116038889744,0.6040456059150645,mixed,3396.3094775882114
3,41.57062705012717,0.6051114784438322,195269,41.58938700174477,0.5751820418146125,mixed,3247.887786509607
3,41.57062705012717,0.6051114784438322,CATR9552B,41.549203,0.579889,mixed,3174.7685151285473
3,41.57062705012717,0.6051114784438322,2500260,41.54919894033083,0.5798966821768858,office,3174.68487046739
4,41.48576089697248,0.3329272504803628,103536,41.4718834747236,0.3325958301475773,office,1543.3459313371432
4,41.48576089697248,0.3329272504803628,2200387,41.471656,0.332611,mixed,1568.614250114884
4,41.48576089697248,0.3329272504803628,112984,41.459956,0.3656860000000001,mixed,3960.09488608157
4,41.48576089697248,0.3329272504803628,547,41.51953390711128,0.3181596727345992,mixed,3951.623632174369
4,41.48576089697248,0.3329272504803628,3424,41.466808,0.263514,office,6154.9043628380705
4,41.48576089697248,0.3329272504803628,2200397,41.524728,0.384997,residential,6129.884573246324
5,41.66651051087286,0.6203175717490159,25225,41.630104472819,0.6246437833252405,residential,4064.094737360672
5,41.66651051087286,0.6203175717490159,CATR9415L,41.63000930995971,0.622289644280738,residential,4062.0546049464433
5,41.66651051087286,0.6203175717490159,64176,41.63441807504238,0.6407956414403482,office,3953.381901550838
5,41.66651051087286,0.6203175717490159,2500081,41.696775,0.596514,mixed,3902.905318140151
5,41.66651051087286,0.6203175717490159,CATR9433H,41.696753,0.599283,mixed,3789.4519500479364
5,41.66651051087286,0.6203175717490159,2500360,41.696639,0.630278,mixed,3450.7425890576383
5,41.66651051087286,0.6203175717490159,CATR5650A,41.63704725377813,0.6288518521485775,office,3352.0190354622205
5,41.66651051087286,0.6203175717490159,2501096,41.693925,0.608131,mixed,3211.96744327623
5,41.66651051087286,0.6203175717490159,840,41.689169,0.601325,office,2972.534962912613
5,41.66651051087286,0.6203175717490159,2500080,41.66026499712935,0.6510637962952548,office,2646.809268113793
6,41.6040712,0.28155840000000004,23596,41.602414,0.271056,residential,892.47571675794
6,41.6040712,0.28155840000000004,2200144,41.611792,0.267222,mixed,1468.9376120137858
6,41.6040712,0.28155840000000004,ARAR7410A,41.617483,0.263875,office,2094.1340994489915
6,41.6040712,0.28155840000000004,ARAR7411A,41.619139,0.303889,mixed,2500.742878797196
6,41.6040712,0.28155840000000004,2200505,41.569528,0.30175,mixed,4192.082587296711
7,41.52702375,0.7715154999999999,2500103,41.54181699999999,0.7679889999999999,residential,1670.9187539902484
7,41.52702375,0.7715154999999999,2500215,41.5047,0.7675169999999999,office,2504.5127359108023
7,41.52702375,0.7715154999999999,CATR5660A,41.498553,0.761917,mixed,3265.124570761515
7,41.52702375,0.7715154999999999,148213,41.563025,0.788639,mixed,4249.240038230008
8,41.45370116666666,0.7252679999999998,2500368,41.446389,0.7418609999999999,residential,1604.2420118630603
8,41.45370116666666,0.7252679999999998,103314,41.446389,0.7418609999999999,mixed,1604.2420118630603
8,41.45370116666666,0.7252679999999998,CATR5668A,41.446389,0.7418609999999999,residential,1604.2420118630603
